u,y
 8.17000008,  0.E+0
 8.10139847,  7.185616344E-2
 8.07262897,  0.13173601
 8.06377697,  0.200598761
 8.06156445,  0.272454917
 8.05935192,  0.353293121
 8.09033298,  0.398203224
 8.21868515,  0.610778332
 8.29613876,  0.679640114
 8.47538853,  0.80838275
 8.69668484,  0.952095091
 8.9733057,  1.10478938
 9.22115803,  1.23353195
 9.39155579,  1.34431052
 9.50441742,  1.74850154
 9.4225378,  1.94610691
 9.38491726,  2.14670563
 9.13485241,  2.34431005
 8.89806461,  2.53592682
 8.69225979,  2.6766448
 8.44883347,  2.8083818
 8.33818531,  2.88323212
 8.2319622,  2.94610643
 8.1722126,  2.99999857
